Source_File,Greek_Word
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Αγαθός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,σκάνδαλον
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Σωτήρ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Mεσίτης
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Mεσίτου
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Mεσίτης
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ἐφάπαξ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Kοσμοκράτωρ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,σκάνδαλον
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,παιδαγωγός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,παῖς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,παιδός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Ὀνόματος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,σταυρόι
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Γνῶσις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Σωτήρ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 18 Excerpts.docx,Ἀποκάλυψις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 18 Excerpts.docx,Ἕσχατον
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 18 Excerpts.docx,Ἀποκατάστασις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 18 Excerpts.docx,Ἀποκατάστασις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 18 Excerpts.docx,Παράκλητος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Τριάς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Παράκλητος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Εἰκών
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Θεοϋ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Εἰκών
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Θεοϋ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,παράκλησις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Μεσίτης
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Εἰκών
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Θεοϋ
